method,sigma,gate_min,gate_max,max_scale_ratio
fourier_normalized,0.2532353699207306,1.0,1.0,1.0
fourier_normalized,0.2554032504558563,1.0,1.0,1.0
fourier_normalized,0.2575896680355072,1.0,1.0,1.0
fourier_normalized,0.25979483127593994,1.0,1.0,1.0
fourier_normalized,0.2620188891887665,1.0,1.0,1.0
fourier_normalized,0.26426196098327637,1.0,1.0,1.0
fourier_normalized,0.26652422547340393,1.0,1.0,1.0
fourier_normalized,0.2688058614730835,1.0,1.0,1.0
fourier_normalized,0.2711070477962494,1.0,1.0,1.0
fourier_normalized,0.27342793345451355,1.0,1.0,1.0
fourier_normalized,0.2757686674594879,1.0,1.0,1.0
fourier_normalized,0.2781294584274292,1.0,1.0,1.0
fourier_normalized,0.28051045536994934,1.0,1.0,1.0
fourier_normalized,0.28291183710098267,1.0,1.0,1.0
fourier_normalized,0.2853337526321411,1.0,1.0,1.0
fourier_normalized,0.2877764403820038,1.0,1.0,1.0
fourier_normalized,0.29024001955986023,1.0,1.0,1.0
fourier_normalized,0.2927246689796448,1.0,1.0,1.0
fourier_normalized,0.2952306270599365,1.0,1.0,1.0
fourier_normalized,0.297758013010025,1.0,1.0,1.0
fourier_normalized,0.300307035446167,1.0,1.0,1.0
fourier_normalized,0.30287790298461914,1.0,1.0,1.0
fourier_normalized,0.305470734834671,1.0,1.0,1.0
fourier_normalized,0.3080857992172241,1.0,1.0,1.0
fourier_normalized,0.3107232451438904,1.0,1.0,1.0
fourier_normalized,0.3133832812309265,1.0,1.0,1.0
fourier_normalized,0.31606605648994446,1.0,1.0,1.0
fourier_normalized,0.3187718093395233,1.0,1.0,1.0
fourier_normalized,0.3215007483959198,1.0,1.0,1.0
fourier_normalized,0.32425302267074585,1.0,1.0,1.0
fourier_normalized,0.32702887058258057,1.0,1.0,1.0
fourier_normalized,0.3298284709453583,1.0,1.0,1.0
fourier_normalized,0.3326520621776581,1.0,1.0,1.0
fourier_normalized,0.3354997932910919,1.0,1.0,1.0
fourier_normalized,0.3383719325065613,1.0,1.0,1.0
fourier_normalized,0.3412686288356781,1.0,1.0,1.0
fourier_normalized,0.34419015049934387,1.0,1.0,1.0
fourier_normalized,0.3471366763114929,1.0,1.0,1.0
fourier_normalized,0.35010841488838196,1.0,1.0,1.0
fourier_normalized,0.3531056046485901,1.0,1.0,1.0
fourier_normalized,0.356128454208374,1.0,1.0,1.0
fourier_normalized,0.3591771721839905,1.0,1.0,1.0
fourier_normalized,0.36225199699401855,1.0,1.0,1.0
fourier_normalized,0.36535313725471497,1.0,1.0,1.0
fourier_normalized,0.3684808313846588,1.0,1.0,1.0
fourier_normalized,0.3716353178024292,1.0,1.0,1.0
fourier_normalized,0.37481677532196045,1.0,1.0,1.0
fourier_normalized,0.37802550196647644,1.0,1.0,1.0
fourier_normalized,0.3812616765499115,1.0,1.0,1.0
fourier_normalized,0.3845255374908447,1.0,1.0,1.0
fourier_normalized,0.3878173828125,1.0,1.0,1.0
fourier_normalized,0.39113736152648926,1.0,1.0,1.0
fourier_normalized,0.39448580145835876,1.0,1.0,1.0
fourier_normalized,0.39786288142204285,1.0,1.0,1.0
fourier_normalized,0.4012688994407654,1.0,1.0,1.0
fourier_normalized,0.4047040641307831,1.0,1.0,1.0
fourier_normalized,0.40816861391067505,1.0,1.0,1.0
fourier_normalized,0.41166284680366516,1.0,1.0,1.0
fourier_normalized,0.41518697142601013,1.0,1.0,1.0
fourier_normalized,0.41874128580093384,1.0,1.0,1.0
fourier_normalized,0.4223260283470154,1.0,1.0,1.0
fourier_normalized,0.42594143748283386,1.0,1.0,1.0
fourier_normalized,0.42958781123161316,1.0,1.0,1.0
fourier_normalized,0.43326541781425476,1.0,1.0,1.0
fourier_normalized,0.4369744658470154,1.0,1.0,1.0
fourier_normalized,0.44071531295776367,1.0,1.0,1.0
fourier_normalized,0.44448816776275635,1.0,1.0,1.0
fourier_normalized,0.4482932984828949,1.0,1.0,1.0
fourier_normalized,0.4521310329437256,1.0,1.0,1.0
fourier_normalized,0.4560016095638275,1.0,1.0,1.0
fourier_normalized,0.4599052965641022,1.0,1.0,1.0
fourier_normalized,0.4638424515724182,1.0,1.0,1.0
fourier_normalized,0.46781328320503235,1.0,1.0,1.0
fourier_normalized,0.47181808948516846,1.0,1.0,1.0
fourier_normalized,0.4758571982383728,1.0,1.0,1.0
fourier_normalized,0.47993090748786926,1.0,1.0,1.0
fourier_normalized,0.48403945565223694,1.0,1.0,1.0
fourier_normalized,0.4881832003593445,1.0,1.0,1.0
fourier_normalized,0.4923624098300934,1.0,1.0,1.0
fourier_normalized,0.4965773820877075,1.0,1.0,1.0
fourier_normalized,0.5008284449577332,1.0,1.0,1.0
fourier_normalized,0.5051159262657166,1.0,1.0,1.0
fourier_normalized,0.5094400644302368,1.0,1.0,1.0
fourier_normalized,0.5138012766838074,1.0,1.0,1.0
fourier_normalized,0.5181998014450073,1.0,1.0,1.0
fourier_normalized,0.5226359963417053,1.0,1.0,1.0
fourier_normalized,0.5271100997924805,1.0,1.0,1.0
fourier_normalized,0.531622588634491,1.0,1.0,1.0
fourier_normalized,0.5361736416816711,1.0,1.0,1.0
fourier_normalized,0.5407636761665344,1.0,1.0,1.0
fourier_normalized,0.5453930497169495,1.0,1.0,1.0
fourier_normalized,0.5500620603561401,1.0,1.0,1.0
fourier_normalized,0.5547710061073303,1.0,1.0,1.0
fourier_normalized,0.5595202445983887,1.0,1.0,1.0
fourier_normalized,0.5643101334571838,1.0,1.0,1.0
fourier_normalized,0.5691410303115845,1.0,1.0,1.0
fourier_normalized,0.5740132927894592,1.0,1.0,1.0
fourier_normalized,0.5789272785186768,1.0,1.0,1.0
fourier_normalized,0.5838833451271057,1.0,1.0,1.0
fourier_normalized,0.58888179063797,1.0,1.0,1.0
fourier_normalized,0.5939230918884277,1.0,1.0,1.0
fourier_normalized,0.5990074872970581,1.0,1.0,1.0
fourier_normalized,0.6041354537010193,1.0,1.0,1.0
fourier_normalized,0.6093072891235352,1.0,1.0,1.0
fourier_normalized,0.6145234107971191,1.0,1.0,1.0
fourier_normalized,0.6197841763496399,1.0,1.0,1.0
fourier_normalized,0.6250900030136108,1.0,1.0,1.0
fourier_normalized,0.6304412484169006,1.0,1.0,1.0
fourier_normalized,0.6358382701873779,1.0,1.0,1.0
fourier_normalized,0.6412815451622009,1.0,1.0,1.0
fourier_normalized,0.6467713713645935,1.0,1.0,1.0
fourier_normalized,0.6523082256317139,1.0,1.0,1.0
fourier_normalized,0.6578924655914307,1.0,1.0,1.0
fourier_normalized,0.6635245084762573,1.0,1.0,1.0
fourier_normalized,0.6692047715187073,1.0,1.0,1.0
fourier_normalized,0.6749336123466492,1.0,1.0,1.0
