spectrum_lambda,method,n_seeds,score_error_mean,score_error_sd,unweighted_score_error_mean,unweighted_score_error_sd
0.0,score,3,0.05381370162096564,8.99226553763616e-05,0.21451042455395228,0.0015669664287147078
0.0,scalar_gaussian,3,0.13366065884201173,0.005109031739189839,0.8984598677454931,0.034113395104744315
0.0,fourier_gaussian,3,0.13366101675520858,0.005109125929837221,0.898463101877171,0.0341141536104316
0.0,scalar_normalized,3,0.1257597245587223,0.005987452924773158,0.8505887450452317,0.04140264040707506
0.0,fourier_normalized,3,0.12575976170773456,0.005987444089193556,0.8505890307249638,0.041402661992350716
0.0,scalar_gate_s1p5_p4,3,0.039488156133205284,0.0001048786508075228,0.15248307679561138,0.0009007863917933954
0.0,fourier_gate_s1p5_p4,3,0.03948815483293976,0.00010487779585193158,0.15248308948355652,0.000900797907786632
0.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06162343029484054,0.0006182008141761467,0.25210011140415506,0.01039229751577539
0.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06162342152942727,0.0006182029410077407,0.25210011037753194,0.010392309498293527
0.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.040929047177594706,6.458692669352878e-05,0.1546547841662181,0.0005585569940893613
0.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04092904772721521,6.458599089883136e-05,0.1546548088569608,0.0005585539933654631
0.0,scalar_gate_s1p5_p4_linear_sigma,3,0.040631088596959165,0.00037794725117569743,0.15588321010828388,0.003757991982574858
0.0,fourier_gate_s1p5_p4_linear_sigma,3,0.04063108741690555,0.0003779463863077495,0.1558832040695581,0.003757977121157521
0.0,scalar_gate_s1p5_p4_tanh_sigma,3,0.04003270034625025,1.936120943701942e-05,0.1542393175520904,0.001116531669082859
0.0,fourier_gate_s1p5_p4_tanh_sigma,3,0.040032699224505246,1.9356800521862607e-05,0.1542393130266558,0.0011165086746984694
0.0,scalar_gate_loglinear_lo0p1_hi3,3,0.05483064458834084,0.001614746694745888,0.2980585074755781,0.017589630023273243
0.0,fourier_gate_loglinear_lo0p1_hi3,3,0.05483065574093011,0.0016147660358215646,0.2980586154394366,0.01758974823500333
0.0,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.06796432707684531,0.002289629051465131,0.35796694276240787,0.020572027227868654
0.0,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.06796432870052725,0.002289643090914081,0.3579669848369589,0.020572221906246402
0.5,score,3,0.05917736138654644,0.0006095670238168496,0.29492135005251047,0.005870235989264148
0.5,scalar_gaussian,3,0.0864191476882633,0.003321911780849537,0.6291779388544795,0.02795875427457869
0.5,fourier_gaussian,3,0.12929079427306597,0.002856684518162645,1.0095747264985795,0.022302971287095998
0.5,scalar_normalized,3,0.09321656658399737,0.0019183486692673781,0.7278372564306602,0.015077247377737243
0.5,fourier_normalized,3,0.12030687191443414,0.004585993742917061,0.9462407338559388,0.03827756966312706
0.5,scalar_gate_s1p5_p4,3,0.042718118955691824,0.000425650166673916,0.20332134168355562,0.003913460744169428
0.5,fourier_gate_s1p5_p4,3,0.042633130628869226,0.00041015266661297895,0.20813361937705052,0.004461622445776307
0.5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.0564396452656021,0.000890296429354447,0.2698540290865295,0.007955886451992203
0.5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05986215482623521,0.0005558729162858465,0.27414594286626864,0.006210712189538508
0.5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04321965225388096,0.00033615781955644,0.20180615165597557,0.0038190788962846247
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.04368825464088686,0.00041279847827817057,0.2096804478089941,0.003809957103914164
0.5,scalar_gate_s1p5_p4_linear_sigma,3,0.04298249584598828,0.0002807954837585543,0.20171945340584987,0.0019343693694424534
0.5,fourier_gate_s1p5_p4_linear_sigma,3,0.042973505299377386,0.0005613375192835696,0.20547659285009767,0.00469036375026325
0.5,scalar_gate_s1p5_p4_tanh_sigma,3,0.042662372995619396,0.00018810175312500025,0.20035596148550183,0.0019079706889001695
0.5,fourier_gate_s1p5_p4_tanh_sigma,3,0.04272996843022775,0.0004580282508962998,0.20607590423856306,0.00378382386350465
0.5,scalar_gate_loglinear_lo0p1_hi3,3,0.04926947643493179,0.0005385118070808543,0.2653064204960176,0.007565736604662587
0.5,fourier_gate_loglinear_lo0p1_hi3,3,0.05179157098475521,0.0006566740835117533,0.3121429738238945,0.00762401452839853
0.5,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.05596380231287534,0.000509617092509414,0.29309990140503867,0.007185109917850748
0.5,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.06231208506965491,0.0007435471982893258,0.341000167592963,0.012190549414997254
1.0,score,3,0.07737510650594905,0.0012360407586850576,0.6691700114603902,0.01986039619263405
1.0,scalar_gaussian,3,0.07455122088472997,0.0008076126225517869,0.6189761601190639,0.013425777831659219
1.0,fourier_gaussian,3,0.12778169182301982,0.0068748557784378,1.5091361398346335,0.06454923157625451
1.0,scalar_normalized,3,0.07833965789925842,0.0016686016882470577,0.7816630813465073,0.02311461107788906
1.0,fourier_normalized,3,0.08464200122828841,0.003995375219957167,1.0191117563570953,0.041303759608077285
1.0,scalar_gate_s1p5_p4,3,0.05821608927902442,0.0005950331408179309,0.4868749799917631,0.010151649658454965
1.0,fourier_gate_s1p5_p4,3,0.05520652211539629,0.0006829262346832685,0.47715741573872633,0.011612372713973217
1.0,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06889316404932933,0.0014916964342404817,0.5852501091946792,0.019789931387560217
1.0,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.06221038423107578,0.0002186136861600269,0.42396076671307564,0.003723134065038815
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.05764935599168466,0.0007762272382077687,0.4697645413185057,0.013870074021550102
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.053060170720242265,0.0005499557872878391,0.4328386670187167,0.009855395473417372
1.0,scalar_gate_s1p5_p4_linear_sigma,3,0.0576472891969341,0.0006538340327542817,0.4637005122268061,0.008627333881629418
1.0,fourier_gate_s1p5_p4_linear_sigma,3,0.05402015581292274,0.0006036849446300758,0.4386868038417758,0.00965829627129587
1.0,scalar_gate_s1p5_p4_tanh_sigma,3,0.05792044766382962,0.0006200011029303065,0.4687204151607543,0.009780968319856196
1.0,fourier_gate_s1p5_p4_tanh_sigma,3,0.05391337077640709,0.0005574734159361852,0.4465982990882685,0.010017152435573363
1.0,scalar_gate_loglinear_lo0p1_hi3,3,0.05943644944209844,0.0011701510740841606,0.45375829189876216,0.015041253091376458
1.0,fourier_gate_loglinear_lo0p1_hi3,3,0.05500946260153645,0.0004791973837230627,0.46224566943322337,0.010422094140938337
1.0,scalar_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.06610458885160025,0.0015622703184575556,0.5598355482774927,0.020386416006444284
1.0,fourier_gate_logsigmoid_lo0p1_hi1p5_s0p75_p2,3,0.059953394398406336,0.0006268947334797377,0.43570673605999427,0.008782139521790426
