spectrum_lambda,seed,method,steps,score_error,unweighted_score_error,dsm_pixel_mean,gradient_norm_mean,gradient_clip_fraction,test_bank_sha256
0.0,42,score,5000,0.053053426255077106,0.2126660873152103,0.5551733803922291,0.44525671850666404,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,scalar_gaussian,5000,0.1384493012759808,0.9320084144607951,0.6404804734723631,0.0319257296288386,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,fourier_gaussian,5000,0.1384496653679014,0.9320116629880888,0.6404808383312159,0.03192575275059789,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,scalar_normalized,5000,0.11840613361990565,0.7988582115230553,0.6208728454699803,0.07692612514905632,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,fourier_normalized,5000,0.11840617950040364,0.7988584817141633,0.6208728985696447,0.07692602799721063,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,scalar_gate_s1p5_p4,5000,0.03907660076266725,0.15220448439830933,0.5411098259877811,0.2686319178339094,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,42,fourier_gate_s1p5_p4,5000,0.03907659518658807,0.1522044719298908,0.5411098158382359,0.2686318341471255,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,score,5000,0.05337843329980422,0.21180382687375807,0.5556694508152297,0.44104274478703737,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,scalar_gaussian,5000,0.12829239633537062,0.8666683911819898,0.6300832807625573,0.03832482497803867,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,fourier_gaussian,5000,0.12829240103127362,0.8666684039044121,0.630083286495192,0.03832480532042682,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,scalar_normalized,5000,0.12812381130919193,0.8681088828020045,0.6296549657193256,0.07158396186567843,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,fourier_normalized,5000,0.12812381468962536,0.8681089224780628,0.6296549727614539,0.07158395214341581,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,scalar_gate_s1p5_p4,5000,0.03893435505496997,0.1502963399304768,0.5411572602976825,0.26710505949035285,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,43,fourier_gate_s1p5_p4,5000,0.038934355067971646,0.15029633579024404,0.5411572603095886,0.267105028866604,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,score,5000,0.053415401998188776,0.21197143583807984,0.5554855034523164,0.4383753305915743,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,scalar_gaussian,5000,0.13231606078382385,0.8876305822306907,0.6341548214648376,0.0359257438108325,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,fourier_gaussian,5000,0.13231678114174059,0.8876373818998221,0.6341555285040408,0.035925748154893515,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,scalar_normalized,5000,0.1291504263116413,0.87519227474754,0.6309111211819078,0.06581401685699821,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,fourier_normalized,5000,0.12915048734543436,0.8751927580523251,0.6309111823052727,0.06581401328742505,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,scalar_gate_s1p5_p4,5000,0.03910959095862402,0.15199993576592605,0.5411420753407289,0.26458442910760643,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
0.0,44,fourier_gate_s1p5_p4,5000,0.03910959563116695,0.15199999332353722,0.5411420806610422,0.2645844046045095,0.0,b5ec42f4115adb45598048e182a410f0fa715b618c58de650b8b75a45181b389
