spectrum_lambda,method,n_seeds,scaled_score_mse_mean,scaled_score_mse_sd,score_mse_mean,score_mse_sd,gradient_norm_mean_mean,gradient_norm_mean_sd,gradient_clip_fraction_mean,gradient_clip_fraction_sd
0.0,score,3,0.05289887786845208,0.0002155878931247065,0.21191735314435703,0.0010216916012839286,0.44155826462842523,0.0034695382170591834,0.0,0.0
0.0,scalar_gaussian,3,0.1327660114693766,0.00491796648070506,0.899557339646238,0.03451187967547297,0.03539209947256992,0.0032327523152660916,0.0,0.0
0.0,fourier_gaussian,3,0.13276639904601203,0.004918084603054526,0.8995604374330558,0.034513050420749224,0.035392102075306076,0.0032327313608700677,0.0,0.0
0.0,scalar_normalized,3,0.12484169131812976,0.006231953158796499,0.8504813416612093,0.04295765805254858,0.07144136795724432,0.005557426332453587,0.0,0.0
0.0,fourier_normalized,3,0.12484173086179619,0.0062319444802637096,0.850481599210413,0.042957688610194084,0.07144133114268382,0.005557380074280517,0.0,0.0
0.5,score,3,0.058729319046571166,0.0006798145717696411,0.29275083832826393,0.006090091972206138,0.4507220261778682,0.005839318249231525,0.0,0.0
0.5,scalar_gaussian,3,0.08617200021231787,0.0033524716142771744,0.6265784479141928,0.027587449913169665,0.08698494779355825,0.003469867158919931,0.0,0.0
0.5,fourier_gaussian,3,0.128720010923952,0.0031693339551923405,1.0044384665974484,0.023543764338295557,0.03638681253331403,0.001817037700553609,0.0,0.0
0.5,scalar_normalized,3,0.09286226298533083,0.0018546153197766446,0.7223493245528246,0.014731569486674577,0.14136660859895248,0.002617585724824479,0.0,0.0
0.5,fourier_normalized,3,0.11997580023451354,0.004600844449002934,0.9415945012846988,0.037345058057034024,0.07531313617353637,0.004257314209071465,0.0,0.0
1.0,score,3,0.07763736437525108,0.001097384317112408,0.6732038752482709,0.019661699780546566,0.48293721460488936,0.006920806720825724,0.0,0.0
1.0,scalar_gaussian,3,0.07489852675817658,0.0007279846184831705,0.6208294181493739,0.013186198451640667,0.13267985068758328,0.0008763530263758924,0.0,0.0
1.0,fourier_gaussian,3,0.12821287579676352,0.006638537585353035,1.5142507131073542,0.06130325460027481,0.030015807099143667,0.0029624256928104374,0.0,0.0
1.0,scalar_normalized,3,0.0788006013235445,0.0018165757466401655,0.7844405506089837,0.024148884162723788,0.20236993662702543,0.0006366189190555909,0.0,0.0
1.0,fourier_normalized,3,0.08539264210178976,0.00444590837412957,1.0261898493679322,0.040511943106907956,0.11306272688868146,0.0008603593014208888,0.0,0.0
