spectrum_lambda,seed,method,objective,steps,scaled_score_mse,score_mse,dsm_pixel_mean,gradient_clip_fraction,gradient_norm_mean,optimizer_seconds
0.0,42,fourier_gaussian,dsm,5000,0.1381042771749851,0.9367557990830842,0.6388375219715541,0.0,0.03192575275059789,16.623920098820236
0.0,42,scalar_normalized,normalized_residual,5000,0.11767072334653264,0.8010456165471243,0.6181767611009293,0.0,0.07692612514905632,14.04685789393261
0.0,42,score,dsm,5000,0.05267237971389355,0.21272702168051896,0.5532860070454262,0.0,0.44525671850666404,13.618153418938164
0.0,42,fourier_normalized,normalized_residual,5000,0.11767077579098349,0.801045861294496,0.6181768085475012,0.0,0.07692602799721063,15.408199758967385
0.0,42,scalar_gaussian,dsm,5000,0.13810390954060903,0.9367526175034455,0.638837166036294,0.0,0.0319257296288386,13.780745965021197
0.5,42,fourier_gaussian,dsm,5000,0.12620293016527567,0.9829310085469015,0.6062673383153031,0.0,0.03814882893413305,17.780458252993412
0.5,42,scalar_normalized,normalized_residual,5000,0.09089662129516522,0.7066122496387135,0.5707423145405022,0.0,0.14438177500404417,14.348160752968397
0.5,42,score,dsm,5000,0.05805920403608062,0.28932315421092425,0.5377998929355099,0.0,0.4562077969424427,13.57951461902121
0.5,42,fourier_normalized,normalized_residual,5000,0.12233195061558402,0.9592405652963356,0.602228474208269,0.0,0.0706086407624185,16.498060381039977
0.5,42,scalar_gaussian,dsm,5000,0.08302127260763188,0.6001310014704972,0.5629307006060704,0.0,0.09057257791161537,16.312986634031404
1.0,42,fourier_gaussian,dsm,5000,0.13464862985620318,1.572310524542167,0.5481743940321386,0.0,0.027027885522507133,17.619994211010635
1.0,42,scalar_normalized,normalized_residual,5000,0.08027890473595588,0.8026367895045129,0.49396840790564106,0.0,0.20219091011062265,14.19266881904332
1.0,42,score,dsm,5000,0.07759722406664774,0.676257933397193,0.49144277660858887,0.0,0.4909241996001452,13.636345405946486
1.0,42,fourier_normalized,normalized_residual,5000,0.08030499337877016,0.9799500527230064,0.49368015388474107,0.0,0.11343523357063531,15.613464135909453
1.0,42,scalar_gaussian,dsm,5000,0.07472102340547514,0.6272447232577378,0.48852001241484,0.0,0.1336891015227884,13.98248803592287
0.0,43,fourier_normalized,normalized_residual,5000,0.12790741561697316,0.8716718807120529,0.6285784042099573,0.0,0.07158395214341581,15.608480266062543
0.0,43,scalar_normalized,normalized_residual,5000,0.12790741195760638,0.8716718543358093,0.628578398707619,0.0,0.07158396186567843,14.030129928025417
0.0,43,scalar_gaussian,dsm,5000,0.12841881112922093,0.8685720731167508,0.629069499403808,0.0,0.03832482497803867,13.526479322987143
0.0,43,score,dsm,5000,0.05292267260459503,0.2122556079518896,0.5536315627895296,0.0,0.44104274478703737,13.261885552899912
0.0,43,fourier_gaussian,dsm,5000,0.12841881500030547,0.8685720563397807,0.6290695040709714,0.0,0.03832480532042682,16.160606424848083
0.5,43,fourier_normalized,normalized_residual,5000,0.11467411180068582,0.8986963217376568,0.5942370410328701,0.0,0.078900501877442,15.669706954970025
0.5,43,scalar_normalized,normalized_residual,5000,0.09310902164298487,0.7246252334327744,0.5730797423488095,0.0,0.14004160055629908,13.631646171037573
0.5,43,scalar_gaussian,dsm,5000,0.08579960823034485,0.624424693281479,0.5654472645211499,0.0,0.0867360148344189,13.86237151606474
0.5,43,score,dsm,5000,0.05941843481895164,0.29978233554910183,0.5391506331400027,0.0,0.4513743398994207,13.472574965038802
0.5,43,fourier_gaussian,dsm,5000,0.12767791963779887,1.0007914742737696,0.6073789742391029,0.0,0.0364922624707222,18.954948644852266
1.0,43,fourier_normalized,normalized_residual,5000,0.08734235020824237,1.0431755452993525,0.5011031949004158,0.0,0.11367406191676856,16.290525164979044
1.0,43,scalar_normalized,normalized_residual,5000,0.07677268598155414,0.757043762525297,0.4904316497427361,0.0,0.20184199885241688,14.25084868009435
1.0,43,scalar_gaussian,dsm,5000,0.07427570902499449,0.6056631400520536,0.4876479574107006,0.0,0.13211155274398625,14.620262193086091
1.0,43,score,dsm,5000,0.07875426811135228,0.6911598383689938,0.4924030543735449,0.0,0.4787121650274843,13.921936353144702
1.0,43,fourier_gaussian,dsm,5000,0.12138861781975743,1.4501511232353734,0.5346653706082767,0.0,0.03295206101797521,16.958117074042093
0.0,44,fourier_gaussian,dsm,5000,0.13177610496274553,0.8933534568763029,0.6323670901412115,0.0,0.035925748154893515,16.685624087054748
0.0,44,score,dsm,5000,0.05310158128686767,0.21076942980066254,0.5537474189468614,0.0,0.4383753305915743,13.675737050944008
0.0,44,scalar_gaussian,dsm,5000,0.13177531373829984,0.8933473283185176,0.6323663241133828,0.0,0.0359257438108325,13.645073696039617
0.0,44,fourier_normalized,normalized_residual,5000,0.1289470011774319,0.8787270556246899,0.6295112437992896,0.0,0.06581401328742505,15.44918420893373
0.0,44,scalar_normalized,normalized_residual,5000,0.12894693865025028,0.878726554100694,0.6295111803944204,0.0,0.06581401685699821,13.433957764005754
0.5,44,fourier_gaussian,dsm,5000,0.13227918296878144,1.0295929169716742,0.6124240310192499,0.0,0.034519346195086835,16.85365707008168
0.5,44,score,dsm,5000,0.058710318284681234,0.2891470252247657,0.5385514711333265,0.0,0.44458394169174137,13.54760723898653
0.5,44,scalar_gaussian,dsm,5000,0.08969511979897687,0.6551796489906023,0.569616690995631,0.0,0.08364625063464046,13.719131207093596
0.5,44,fourier_normalized,normalized_residual,5000,0.1229213382872708,0.9668466168201039,0.6028348459134993,0.0,0.07643026588074862,15.668748106865678
0.5,44,scalar_normalized,normalized_residual,5000,0.09458114601784239,0.7358104905869861,0.5742591903180583,0.0,0.1396764502365142,15.859499978017993
1.0,44,fourier_gaussian,dsm,5000,0.12860137971432997,1.5202904915445223,0.5420302205207604,0.0,0.03006747475694865,17.186753705027513
1.0,44,score,dsm,5000,0.07656060094775322,0.652193853978626,0.49026730667505664,0.0,0.47917527918703856,13.767258025007322
1.0,44,scalar_gaussian,dsm,5000,0.07569884784406014,0.6295803911383302,0.48956679713858997,0.0,0.1322388977959752,14.388772370875813
