spectrum_lambda,seed,method,band,scaled_score_mse
1.0,43,score,2,0.07276461114009537
1.0,43,score,3,0.06954231917773113
1.0,43,fourier_gaussian,0,0.0854371617907132
1.0,43,fourier_gaussian,1,0.11689675600423596
1.0,43,fourier_gaussian,2,0.12902585800050434
1.0,43,fourier_gaussian,3,0.12049538482510952
0.0,44,fourier_gaussian,0,0.1272697207326818
0.0,44,fourier_gaussian,1,0.1332271400832952
0.0,44,fourier_gaussian,2,0.1317630944010415
0.0,44,fourier_gaussian,3,0.13174918477601916
0.0,44,score,0,0.053921530206902255
0.0,44,score,1,0.052563579658212206
0.0,44,score,2,0.05315187091477325
0.0,44,score,3,0.05341251841014824
0.0,44,scalar_gaussian,0,0.12726927676283759
0.0,44,scalar_gaussian,1,0.1332260641088373
0.0,44,scalar_gaussian,2,0.13176242086511836
0.0,44,scalar_gaussian,3,0.13174826225350886
0.0,44,fourier_normalized,0,0.12614188310495758
0.0,44,fourier_normalized,1,0.13322767210880948
0.0,44,fourier_normalized,2,0.12777061152236838
0.0,44,fourier_normalized,3,0.12733945714770858
0.0,44,scalar_normalized,0,0.1261417523428048
0.0,44,scalar_normalized,1,0.1332275938877086
0.0,44,scalar_normalized,2,0.1277705592462964
0.0,44,scalar_normalized,3,0.12733942170273108
0.5,44,fourier_gaussian,0,0.10571544218860064
0.5,44,fourier_gaussian,1,0.13368613060202506
0.5,44,fourier_gaussian,2,0.13542951198406886
0.5,44,fourier_gaussian,3,0.13263433355203005
0.5,44,score,0,0.0870313783027134
0.5,44,score,1,0.06231249280577041
0.5,44,score,2,0.05434705582803111
0.5,44,score,3,0.05305596618451646
0.5,44,scalar_gaussian,0,0.0712379076924719
0.5,44,scalar_gaussian,1,0.09427311045050893
0.5,44,scalar_gaussian,2,0.09091379732194578
0.5,44,scalar_gaussian,3,0.08720658361309572
0.5,44,fourier_normalized,0,0.09831737945003088
0.5,44,fourier_normalized,1,0.12211738699501791
0.5,44,fourier_normalized,2,0.12654560445433619
0.5,44,fourier_normalized,3,0.12432777886305107
0.5,44,scalar_normalized,0,0.06826243813423313
0.5,44,scalar_normalized,1,0.09501349555456712
0.5,44,scalar_normalized,2,0.09851821446025687
0.5,44,scalar_normalized,3,0.0935606593276599
1.0,44,fourier_gaussian,0,0.0886430862710341
1.0,44,fourier_gaussian,1,0.12632026886104183
1.0,44,fourier_gaussian,2,0.13610162074998364
1.0,44,fourier_gaussian,3,0.1265214958984262
1.0,44,score,0,0.09486679285047472
1.0,44,score,1,0.08973098443557943
1.0,44,score,2,0.0704747421774832
1.0,44,score,3,0.06596750126668144
1.0,44,scalar_gaussian,0,0.08095989397162368
1.0,44,scalar_gaussian,1,0.09933810530638704
1.0,44,scalar_gaussian,2,0.06975898275418121
1.0,44,scalar_gaussian,3,0.05319018817970847
1.0,44,fourier_normalized,0,0.06575905582684761
1.0,44,fourier_normalized,1,0.09447164258117165
1.0,44,fourier_normalized,2,0.09285879067006923
1.0,44,fourier_normalized,3,0.07426853897327734
1.0,44,scalar_normalized,0,0.07100558736927075
1.0,44,scalar_normalized,1,0.09899011083365511
1.0,44,scalar_normalized,2,0.07633238128229841
1.0,44,scalar_normalized,3,0.0604714416018803
