spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.04926731972094483,0.002130448238303198,-53.20620820308657,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.07680979492522823,0.00472139388343061,-63.93388543997871,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,0.0009618673494458685,0.00019416211749199725,2.270281816045494,0,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.0010002842502068107,8.223674323661543e-05,2.3630994173660325,0,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.012613347718907077,0.0011442742066098636,-22.54679824702488,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.016115713390479788,0.0008544061838806704,-27.110141179184843,3,3
0.5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.0004777368118583554,0.00030573311198291907,1.114856088991223,0,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.01999578525556829,0.0008064709625317087,-25.587286237269492,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.01711535105721167,0.0016974826783339666,-22.739541873377977,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.07067263457876742,0.006464373573960878,-54.85975214884773,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.02101431895784027,0.0018718111596386113,-26.544666570529074,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.0273129663837435,0.004591495440446394,-31.95824878113651,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,-0.0005852598523691221,0.00043821762201807005,-0.9964104979978905,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,0.002404458616329553,0.0001993657660869201,4.313154405593811,0,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.01110793154631759,0.0012494899945817697,-16.038135837173705,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.0043958147357379546,0.0009804955294117558,-7.027976252270007,3,3
1.0,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.004614066754920658,0.0004441104006273037,8.61838379299098,0,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,score,-0.024609852010488948,0.0006449904085084464,-31.491602835345944,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gaussian,-0.02172941781213233,0.0014602562158922794,-28.869814272077633,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gaussian,-0.07528670133368809,0.006761549390172943,-58.44142927298361,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_normalized,-0.025628385712760927,0.0020072862618882915,-32.373019313687394,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_normalized,-0.03192703313866416,0.004154611157367927,-37.35705794652586,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4,-0.005199326607289781,6.039958421770835e-05,-8.85190329227612,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4,-0.0022096081385911057,0.0005147021576464773,-3.9636286575597035,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.015721998301238247,0.0015855360648157932,-22.700134884308365,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.009009881490658614,0.0006029859565289769,-14.404891233771643,3,3
1.0,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.004614066754920658,0.0004441104006273037,-7.934553518505883,3,3
