spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
0.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.02146103444620025,0.0005345943312010771,-34.984492913329156,3,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0008937261326497891,5.532228522264795e-05,-2.191734736717821,3,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.0008937258560957201,5.532069582621905e-05,-2.191734073373308,3,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.000577165648612254,0.00043634176345731324,-1.4264898133576787,3,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_linear_sigma,-0.0005771649581304735,0.00043634040731420516,-1.4264881311459532,3,3
0.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4_tanh_sigma,2.5989647933766236e-11,4.078631632738527e-09,6.51641185456242e-08,1,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,score,-0.01398412459606084,0.00014838635948367202,-25.960220606800743,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gaussian,-0.09396344661875151,0.005024574887666679,-70.202219024143,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gaussian,-0.09396380631770566,0.005024698232089908,-70.20229910225646,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_normalized,-0.08580555022392368,0.005888682940425903,-68.26818077681673,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_normalized,-0.08580558780469205,0.005888677888661014,-68.2681902645714,3,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4,0.0004939475403404267,7.784478843044179e-05,1.2540101082338273,0,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4,0.0004939483590384828,7.784204406157954e-05,1.2540122127691067,0,3
0.0,fourier_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.021461042210412184,0.0005345905990807056,-34.984501157002235,3,3
