spectrum_lambda,seed,method,region,n,score_error
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009627283677163917
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04499888626305439
0.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06750827259174282
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009627285150221614
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04499889093080548
0.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.0675082718607314
0.0,44,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.009559876306415306
0.0,44,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.044770657412171955
0.0,44,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06547624489856307
0.0,44,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.009559877326887628
0.0,44,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.04477066160709021
0.0,44,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06547624588858231
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.00963491116790915
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.04627128557973891
0.0,44,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.06358322333247407
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.009634909041084693
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.04627128376905459
0.0,44,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.06358321913670793
0.0,44,score,low,6144,0.014483326238705074
0.0,44,score,middle,6144,0.059489201223159115
0.0,44,score,high,6144,0.08762193953007895
0.0,44,scalar_gaussian,low,6144,0.06424920568501274
0.0,44,scalar_gaussian,middle,6144,0.21777237563340004
0.0,44,scalar_gaussian,high,6144,0.11626305942642519
0.0,44,fourier_gaussian,low,6144,0.06424976029576825
0.0,44,fourier_gaussian,middle,6144,0.21777373187588092
0.0,44,fourier_gaussian,high,6144,0.11626327138397907
0.0,44,scalar_normalized,low,6144,0.06357536031281258
0.0,44,scalar_normalized,middle,6144,0.2125464175046945
0.0,44,scalar_normalized,high,6144,0.11302025237401674
0.0,44,fourier_normalized,low,6144,0.0635754003511385
0.0,44,fourier_normalized,middle,6144,0.21254652908698804
0.0,44,fourier_normalized,high,6144,0.11302029326119249
0.0,44,scalar_gate_s1p5_p4,low,6144,0.009714766806357725
0.0,44,scalar_gate_s1p5_p4,middle,6144,0.0455182570252869
0.0,44,scalar_gate_s1p5_p4,high,6144,0.06284707471045134
0.0,44,fourier_gate_s1p5_p4,low,6144,0.0097147696032757
0.0,44,fourier_gate_s1p5_p4,middle,6144,0.04551825873122615
0.0,44,fourier_gate_s1p5_p4,high,6144,0.06284708093130219
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01599483690353649
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06257398214935421
0.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.1062682761731909
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.01599483729955767
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06257397448470667
0.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.10626826173227599
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009668339160865765
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04509283315267811
0.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06755769227194382
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.009668341929185689
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.04509283276142828
0.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06755768675810374
0.5,42,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.013652552595561493
0.5,42,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.049755476896954344
0.5,42,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06551740416240251
0.5,42,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.014096011397797351
0.5,42,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.05059277972305348
0.5,42,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.0651053524029775
0.5,42,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.013393576691700269
0.5,42,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.05051563810065148
0.5,42,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.0637753829003489
0.5,42,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.014011929972351463
0.5,42,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.05156823054199999
0.5,42,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.06313087878416368
0.5,42,score,low,6144,0.020453164426265536
0.5,42,score,middle,6144,0.06446626500659326
0.5,42,score,high,6144,0.08970950207479217
0.5,42,scalar_gaussian,low,6144,0.043628924989223404
0.5,42,scalar_gaussian,middle,6144,0.1260605648098717
0.5,42,scalar_gaussian,high,6144,0.07779075851388952
0.5,42,fourier_gaussian,low,6144,0.07308421365589694
0.5,42,fourier_gaussian,middle,6144,0.20686543369872634
0.5,42,fourier_gaussian,high,6144,0.09707915587521516
0.5,42,scalar_normalized,low,6144,0.05221638268955358
0.5,42,scalar_normalized,middle,6144,0.14278123615492314
0.5,42,scalar_normalized,high,6144,0.07607292689339064
0.5,42,fourier_normalized,low,6144,0.07155797805159415
0.5,42,fourier_normalized,middle,6144,0.19985184298913417
0.5,42,fourier_normalized,high,6144,0.09422710829125418
0.5,42,scalar_gate_s1p5_p4,low,6144,0.013751570666228417
0.5,42,scalar_gate_s1p5_p4,middle,6144,0.05081893314075018
0.5,42,scalar_gate_s1p5_p4,high,6144,0.0640971334262725
0.5,42,fourier_gate_s1p5_p4,low,6144,0.014188056885372452
0.5,42,fourier_gate_s1p5_p4,middle,6144,0.05095938730803242
0.5,42,fourier_gate_s1p5_p4,high,6144,0.06264512441034406
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.016660469871644826
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06271863407108334
0.5,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.08608289064307123
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.016888887175005227
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.06293150688186977
0.5,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.09668739090923124
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.013552861856051484
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.05023654574651091
0.5,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.0662604821670698
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.014080992999452225
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.050661880624429244
0.5,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06650493880024966
0.5,43,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.013359734457937566
0.5,43,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.04952863449277881
0.5,43,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06490690821589674
0.5,43,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.013949097750745397
0.5,43,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.05042362025902045
0.5,43,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.0645880193401362
0.5,43,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.013236184815166746
0.5,43,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.050459616728858125
0.5,43,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.06314599272833268
0.5,43,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.013830525163469836
0.5,43,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.051380521547463816
0.5,43,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.062611133690794
0.5,43,score,low,6144,0.02121952866216341
0.5,43,score,middle,6144,0.06588301256790345
0.5,43,score,high,6144,0.09198503898449863
0.5,43,scalar_gaussian,low,6144,0.04565779398941252
0.5,43,scalar_gaussian,middle,6144,0.13140088669517255
0.5,43,scalar_gaussian,high,6144,0.08024318957736853
0.5,43,fourier_gaussian,low,6144,0.07474117121421252
0.5,43,fourier_gaussian,middle,6144,0.21141446280715628
0.5,43,fourier_gaussian,high,6144,0.09781092972961247
0.5,43,scalar_normalized,low,6144,0.053310020098246556
0.5,43,scalar_normalized,middle,6144,0.14583720864093544
0.5,43,scalar_normalized,high,6144,0.07826572515912002
0.5,43,fourier_normalized,low,6144,0.06682626037355179
0.5,43,fourier_normalized,middle,6144,0.1891945992987245
0.5,43,fourier_normalized,high,6144,0.08959413581324804
0.5,43,scalar_gate_s1p5_p4,low,6144,0.013735732804436273
0.5,43,scalar_gate_s1p5_p4,middle,6144,0.05058692044448896
0.5,43,scalar_gate_s1p5_p4,high,6144,0.0631184778667885
