spectrum_lambda,seed,method,region,n,score_error
1.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.05885677421318949
1.0,44,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.033208058543035546
1.0,44,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.07269679582613892
1.0,44,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06779691349607318
1.0,44,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.030618256580841274
1.0,44,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.0699192599550804
1.0,44,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.06083283780141924
1.0,44,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.03304592744794735
1.0,44,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.07387685686413946
1.0,44,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.06694802536808288
1.0,44,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.03091775020964733
1.0,44,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.07050895618558145
1.0,44,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.059483118841625104
1.0,44,score,low,6144,0.04734124405547255
1.0,44,score,middle,6144,0.08899853399476589
1.0,44,score,high,6144,0.0945683397840437
1.0,44,scalar_gaussian,low,6144,0.04529237348480506
1.0,44,scalar_gaussian,middle,6144,0.1097490676530135
1.0,44,scalar_gaussian,high,6144,0.07261871920564936
1.0,44,fourier_gaussian,low,6144,0.11750093791257536
1.0,44,fourier_gaussian,middle,6144,0.19624943580260798
1.0,44,fourier_gaussian,high,6144,0.07076778477847355
1.0,44,scalar_normalized,low,6144,0.057897782474482816
1.0,44,scalar_normalized,middle,6144,0.11626179868770177
1.0,44,scalar_normalized,high,6144,0.06379526445689888
1.0,44,fourier_normalized,low,6144,0.08085513924545604
1.0,44,fourier_normalized,middle,6144,0.13229697713841046
1.0,44,fourier_normalized,high,6144,0.05172809085537664
1.0,44,scalar_gate_s1p5_p4,low,6144,0.034269629755066255
1.0,44,scalar_gate_s1p5_p4,middle,6144,0.07336904706275947
1.0,44,scalar_gate_s1p5_p4,high,6144,0.06631698949253478
1.0,44,fourier_gate_s1p5_p4,low,6144,0.033243373919835124
1.0,44,fourier_gate_s1p5_p4,middle,6144,0.07163958400301934
1.0,44,fourier_gate_s1p5_p4,high,6144,0.05966657590774405
1.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.04089203022870667
1.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.09495881877239053
1.0,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.06956267958596436
1.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.0286484290283649
1.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.08260655010609612
1.0,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.07563672941181611
1.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.03248489606351488
1.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.07266115712062003
1.0,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06634982332420684
1.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.02972459568096113
1.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.06994119455249939
1.0,44,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.058775527039728596
