sigma,linear_log_sigma,bounded_log_sigmoid
0.08500000000000002,0.0,0.0
0.08538966200010902,0.0,0.0
0.08578111031168074,0.0,0.0
0.08617435312362921,0.0,0.0
0.08656939866240865,0.0,0.0
0.08696625519218548,0.0,0.0
0.08736493101501108,0.0,0.0
0.0877654344709957,0.0,0.0
0.08816777393848285,0.0,0.0
0.08857195783422434,0.0,0.0
0.08897799461355672,0.0,0.0
0.08938589277057801,0.0,0.0
0.08979566083832521,0.0,0.0
0.09020730738895315,0.0,0.0
0.09062084103391345,0.0,0.0
0.09103627042413502,0.0,0.0
0.09145360425020485,0.0,0.0
0.0918728512425497,0.0,0.0
0.09229402017161896,0.0,0.0
0.0927171198480681,0.0,0.0
0.09314215912294273,0.0,0.0
0.0935691468878641,0.0,0.0
0.09399809207521492,0.0,0.0
0.0944290036583262,0.0,0.0
0.09486189065166505,0.0,0.0
0.09529676211102331,0.0,0.0
0.09573362713370676,0.0,0.0
0.09617249485872567,0.0,0.0
0.096613374466986,0.0,0.0
0.0970562751814811,0.0,0.0
0.09750120626748517,0.0,0.0
0.09794817703274672,0.0,0.0
0.0983971968276833,0.0,0.0
0.09884827504557739,0.0,0.0
0.09930142112277249,0.0,0.0
0.0997566445388709,0.0,0.0
0.10021395481693185,0.0006283853466252425,7.382963580251604e-08
0.10067336152367068,0.0019731420897550413,7.304062410257474e-07
0.10113487426965902,0.0033178988328845787,2.072265285477031e-06
0.10159850270952595,0.004662655576014378,4.106381177661449e-06
0.10206425654215977,0.0060074123191440456,6.839796648486987e-06
0.10253214551091101,0.0073521690622738445,1.0279623462453159e-05
0.1030021794037963,0.008696925805403512,1.443304313671927e-05
0.10347436805370303,0.01004168254853331,1.9307307668152426e-05
0.10394872133859505,0.011386439291662978,2.490974026843652e-05
0.10442524918171939,0.012731196034792646,3.1247736107347434e-05
0.10490396155181388,0.014075952777922446,3.832876306427806e-05
0.1053848684633155,0.015420709521052114,4.616036248811117e-05
0.10586797997657008,0.01676546626418178,5.4750149965544346e-05
0.10635330619804269,0.01811022300731158,6.410581609795184e-05
0.10684085728052899,0.019454979750441248,7.423512728688642e-05
0.10733064342336772,0.020799736493571048,8.51459265283315e-05
0.10782267487265401,0.022144493236700716,9.684613421578086e-05
0.1083169619214538,0.023489249979830384,0.00010934374895227677
0.10881351491001905,0.024834006722960184,0.0001226468483714841
0.10931234422600408,0.02617876346608985,0.00013676358996791442
0.10981346030468302,0.02752352020921952,0.00015170221193641745
0.1103168736291679,0.028868276952349316,0.00016747103402102402
0.11082259473062804,0.030213033695478984,0.00018407845837325765
0.11133063418851048,0.03155779043860878,0.0002015329704200412
0.11184100263076106,0.032902547181738455,0.00021984313974126901
0.11235371073404692,0.03424730392486812,0.00023901762095720434
0.11286876922397984,0.035592060667997916,0.0002590651546257729
0.11338618887534054,0.03693681741112759,0.0002799945681498838
0.11390598051230408,0.03828157415425726,0.00030181477669490817
0.11442815500866646,0.039626330897387055,0.00032453478411640084
0.11495272328807189,0.04097108764051672,0.0003481636838981971
0.11547969632424136,0.04231584438364639,0.0003727106601010228
0.11600908514120237,0.04366060112677619,0.0003981849883217033
